Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,     6.88,    39.06
    2.0,     6.06,    39.16
    4.0,     2.75,    39.20
    6.0,    -1.37,    39.37
    8.0,    -4.67,    39.95
   10.0,   -10.45,    40.04
   12.0,   -18.71,    39.64
   14.0,   -22.01,    40.15
   16.0,   -26.14,    40.07
   18.0,   -36.04,    39.50
   20.0,   -63.28,    39.32
   22.0,   -74.84,    39.65
   24.0,   -78.96,    38.87
   26.0,   -71.53,    39.17
   28.0,   -71.53,    38.55
   30.0,   -69.88,    38.13
   32.0,   -70.71,    37.44
   34.0,   -68.23,    36.96
   36.0,   -62.45,    37.04
   38.0,   -59.15,    35.87
   40.0,   -49.25,    35.87
   42.0,   -53.37,    34.60
   44.0,   -43.47,    33.91
   46.0,   -40.99,    33.80
   48.0,   -40.99,    32.39
   50.0,   -40.17,    31.57
   52.0,   -39.34,    31.02
   54.0,   -88.87,    30.07
   56.0,   -31.09,    29.19
   58.0,   -16.23,    28.48
   60.0,   -17.88,    26.78
   62.0,    -9.63,    26.44
   64.0,    -5.50,    25.37
   66.0,    -3.85,    24.21
   68.0,    -4.67,    22.47
   70.0,     1.10,    21.93
   72.0,     1.10,    20.74
   74.0,    -1.37,    19.60
   76.0,    -3.02,    18.07
   78.0,    -2.20,    16.76
   80.0,    -3.02,    15.49
   82.0,    -3.85,    14.21
   84.0,   -22.83,    13.02
   86.0,     1.93,    11.70
   88.0,    11.83,    10.61
