Gal. Long. (deg), vPrime km/s, vLSR (km/s)
    0.0,    -0.55,    38.48
    2.0,    -2.20,    38.75
    4.0,    -5.50,    38.98
    6.0,    -7.15,    39.15
    8.0,   -12.93,    39.28
   10.0,   -19.53,    39.36
   12.0,   -24.48,    39.39
   14.0,   -29.44,    39.38
   16.0,   -35.22,    39.31
   18.0,   -41.82,    39.17
   20.0,   -78.96,    39.04
   22.0,   -82.26,    38.83
   24.0,   -79.79,    38.62
   26.0,   -78.96,    38.25
   28.0,   -76.49,    37.90
   30.0,   -75.66,    37.50
   32.0,   -74.84,    37.14
   34.0,   -89.69,    36.61
   36.0,   -92.17,    36.08
   38.0,   -64.93,    35.24
   40.0,   -51.72,    34.89
   42.0,   -55.03,    34.28
   44.0,   -45.12,    33.53
   46.0,   -44.29,    32.79
   48.0,   -43.47,    32.07
   50.0,   -65.76,    31.24
   52.0,   -47.60,    30.38
   54.0,   -41.82,    29.48
   56.0,   -36.04,    28.55
   58.0,   -26.96,    27.46
   60.0,   -22.01,    26.46
   62.0,   -87.22,    25.51
   64.0,   -14.58,    24.36
   66.0,   -11.28,    23.27
   68.0,    -7.15,    22.15
   70.0,   -93.00,    21.08
   72.0,    -3.02,    19.91
   74.0,    -2.20,    18.65
   76.0,   -92.17,    17.49
   78.0,   -94.65,    16.25
   80.0,  -155.73,    14.93
   82.0,  -155.73,    13.65
   84.0,     1.93,    12.19
   86.0,   -91.34,    10.88
   88.0,  -199.48,     9.56
