     t      T1up     T1dn     T2up     T2dn 
    0.20   1152.0   1027.0    913.0    933.0 
    0.60   1238.0    805.0   1068.0    833.0 
    1.00    996.0    636.0    859.0    586.0 
    1.40    767.0    530.0    526.0    506.0 
    1.80    571.0    460.0    425.0    423.0 
    2.20    488.0    340.0    349.0    342.0 
    2.60    378.0    287.0    296.0    276.0 
    3.00    312.0    237.0    239.0    245.0 
    3.40    250.0    198.0    180.0    168.0 
    3.80    216.0    163.0    158.0    158.0 
    4.20    175.0    136.0    131.0    113.0 
    4.60    146.0    112.0    119.0    110.0 
    5.00    118.0     95.0     94.0     91.0 
    5.40     85.0     76.0    101.0     73.0 
    5.80     84.0     61.0     65.0     68.0 
    6.20     83.0     47.0     72.0     51.0 
    6.60     64.0     44.0     43.0     35.0 
    7.00     44.0     43.0     34.0     43.0 
    7.40     60.0     28.0     27.0     31.0 
    7.80     39.0     28.0     35.0     18.0 
    8.20     34.0     23.0     16.0     11.0 
    8.60     27.0     21.0     31.0     16.0 
    9.00     25.0     13.0     20.0     16.0 
    9.40     25.0     14.0     10.0     10.0 
    9.80     18.0     16.0     19.0      8.0 
   10.20     30.0     13.0     11.0      5.0 
   10.60     17.0     13.0     10.0      2.0 
   11.00     18.0     10.0      9.0     10.0 
   11.40     13.0      5.0     11.0     10.0 
   11.80      7.0      6.0      6.0      4.0 
   12.20      8.0      8.0      7.0     10.0 
   12.60     18.0      3.0      1.0      4.0 
   13.00      9.0     11.0      3.0      5.0 
   13.40      9.0      4.0      7.0      7.0 
   13.80      9.0      2.0      3.0      6.0 
   14.20      6.0      4.0      2.0      2.0 
   14.60     11.0     12.0      1.0      3.0 
   15.00      8.0      8.0      3.0      6.0 
   15.40      3.0      6.0      3.0      3.0 
   15.80     12.0      7.0      5.0      4.0 
   16.20      6.0      6.0      4.0      6.0 
   16.60      7.0      6.0      3.0      5.0 
   17.00      4.0      2.0      4.0      4.0 
   17.40      7.0      4.0      1.0      2.0 
   17.80     12.0      6.0      5.0      1.0 
   18.20      6.0      7.0      5.0      4.0 
   18.60      8.0      4.0      3.0      1.0 
   19.00      5.0     10.0      4.0      3.0 
   19.40      6.0      4.0      2.0      3.0 
   19.80      2.0      4.0      3.0      5.0 
