     t      T1up     T1dn     T2up     T2dn 
    0.20   7062.0   6303.0   5888.0   5966.0 
    0.60   7328.0   5308.0   6398.0   5013.0 
    1.00   6041.0   3947.0   5198.0   3717.0 
    1.40   4558.0   3094.0   3545.0   3037.0 
    1.80   3552.0   2610.0   2774.0   2453.0 
    2.20   2919.0   1996.0   2273.0   1950.0 
    2.60   2418.0   1767.0   1822.0   1636.0 
    3.00   1961.0   1387.0   1431.0   1391.0 
    3.40   1544.0   1197.0   1119.0   1149.0 
    3.80   1293.0    969.0    916.0    961.0 
    4.20   1066.0    861.0    760.0    771.0 
    4.60    877.0    704.0    640.0    671.0 
    5.00    744.0    561.0    552.0    547.0 
    5.40    618.0    439.0    499.0    454.0 
    5.80    570.0    380.0    371.0    378.0 
    6.20    453.0    296.0    323.0    309.0 
    6.60    348.0    263.0    286.0    233.0 
    7.00    308.0    249.0    228.0    206.0 
    7.40    313.0    194.0    177.0    180.0 
    7.80    258.0    180.0    183.0    150.0 
    8.20    206.0    162.0    157.0    122.0 
    8.60    176.0    122.0    138.0    100.0 
    9.00    159.0     93.0     99.0    107.0 
    9.40    162.0     87.0     85.0     85.0 
    9.80    117.0     91.0     85.0     72.0 
   10.20    117.0     69.0     74.0     51.0 
   10.60     98.0     60.0     50.0     45.0 
   11.00     79.0     51.0     46.0     48.0 
   11.40     92.0     51.0     40.0     45.0 
   11.80     89.0     51.0     39.0     38.0 
   12.20     67.0     37.0     28.0     44.0 
   12.60     70.0     42.0     24.0     30.0 
   13.00     73.0     37.0     26.0     28.0 
   13.40     63.0     26.0     31.0     32.0 
   13.80     53.0     37.0     25.0     35.0 
   14.20     52.0     32.0     16.0     22.0 
   14.60     50.0     37.0     22.0     26.0 
   15.00     54.0     21.0     22.0     20.0 
   15.40     49.0     31.0     12.0     19.0 
   15.80     65.0     35.0     20.0     20.0 
   16.20     42.0     25.0     16.0     21.0 
   16.60     52.0     29.0     16.0     32.0 
   17.00     40.0     20.0     20.0     24.0 
   17.40     49.0     23.0      7.0     24.0 
   17.80     52.0     32.0     15.0     13.0 
   18.20     44.0     31.0     20.0     22.0 
   18.60     53.0     19.0     22.0     10.0 
   19.00     44.0     30.0     12.0     15.0 
   19.40     32.0     18.0     15.0     18.0 
   19.80     28.0     26.0     13.0     28.0 
